StarName,StarTemp,StarRadius,ExoplanetName,ExoplanetDistance
Sun,5778,1.0,Mercury,0.39
Sun,5778,1.0,Venus,0.72
Sun,5778,1.0,Earth,1.0
Sun,5778,1.0,Mars,1.52
Sun,5778,1.0,Jupiter,5.2
Sun,5778,1.0,Saturn,9.58
Sun,5778,1.0,Uranus,19.22
Sun,5778,1.0,Neptune,30.05
Proxima Centauri,2992,0.1542,Proxima Centauri b,0.0485
Proxima Centauri,2992,0.1542,Proxima Centauri d,0.0289
Kepler-452,5757,1.11,Kepler-452b,1.046
Kepler-62,5062,0.66,Kepler-62b,0.0553
Kepler-62,5062,0.66,Kepler-62c,0.093
Kepler-62,5062,0.66,Kepler-62d,0.12
Kepler-62,5062,0.66,Kepler-62e,0.427
Kepler-62,5062,0.66,Kepler-62f,0.718
HD 209458,6071,1.2,HD 209458b,0.047
LHS 1140,3096,0.216,LHS 1140c,0.027
LHS 1140,3096,0.216,LHS 1140b,0.0946
Gliese 1214,3111,0.204,Gliese 1214b,0.0149
55 Cancri A,5172,0.943,55 Cancri A e,0.01544
55 Cancri A,5172,0.943,55 Cancri A b,0.1134
55 Cancri A,5172,0.943,55 Cancri A c,0.2373
55 Cancri A,5172,0.943,55 Cancri A f,0.7708
55 Cancri A,5172,0.943,55 Cancri A d,5.957
TRAPPIST-1,2566,0.1192,TRAPPIST-1b,0.0115
TRAPPIST-1,2566,0.1192,TRAPPIST-1c,0.0158
TRAPPIST-1,2566,0.1192,TRAPPIST-1d,0.022
TRAPPIST-1,2566,0.1192,TRAPPIST-1e,0.029
TRAPPIST-1,2566,0.1192,TRAPPIST-1f,0.038
TRAPPIST-1,2566,0.1192,TRAPPIST-1g,0.047
TRAPPIST-1,2566,0.1192,TRAPPIST-1h,0.062
